control_id,domain,threat_or_requirement,control,owner,implementation_evidence,test_evidence,release_gate,status,exception_owner,exception_expiry,notes
"APP-04","application_security","CSRF","Validate CSRF and Origin/Host for cookie mutation; no state-changing GET.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-05","application_security","XSS/embed","Use output encoding and CSP; isolate provider embeds with redirect fallback.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-06","application_security","SSRF","Allow supported schemes/hosts and deny private, link-local and metadata IP after DNS/redirect.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-07","application_security","Abuse","Apply risk-based rate limits with privacy-safe keys and Retry-After.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-08","application_security","Atomic mutation","Authorize, validate, version, write, audit and outbox in one transaction.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-09","application_security","Safe errors","Return stable error and traceId; redact stack, SQL, token, path and PII.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-10","application_security","Verification catalog","Map controls to OWASP ASVS 5.0 without certification claim.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"CNT-01","container_host","Approved runtime","Record official Docker Engine, Compose, BuildKit version and image digest.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-02","container_host","Least privilege","Run application non-root and read-only where compatible.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-03","container_host","Isolation","Disallow privileged, host network/PID, Docker socket and broad host mounts.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-04","container_host","Network segmentation","Separate edge, app, data and observability networks; keep DB/worker/Alloy private.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-05","container_host","Ingress","Only Caddy publishes 80/443; verify redirect and certificate expiry externally.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-06","container_host","Capabilities","Drop capabilities and set no-new-privileges; document any addition.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-07","container_host","Container secrets","Expose secrets only to required service; keep out of image, Compose and logs.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-08","container_host","Supply chain","Pin production image digest and retain SBOM/dependency/image/secret scans.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-09","container_host","Capacity","Set CPU/memory/PID/log limits and preserve resource reserve.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-10","container_host","Migration","Run one-shot migration after backup with lock, timeout and recovery plan.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"CNT-11","container_host","Rollback","Version secret-free Compose/Caddy/runbook and rehearse rollback.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"OVH-G01","ovh_infrastructure","Disk resilience","Verify RAID1, SMART/NVMe/RAID health and disk 70/80/90 percent alerts.","Platform / Operations Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"OVH-G02","ovh_infrastructure","Off-host recovery","Encrypt base backup and continuous WAL with separate credentials; monthly timed restore.","Platform / Operations Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"OVH-G03","ovh_infrastructure","Network and SSH","Default deny; public 80/443 only; key-only SSH via VPN/allowlist; no root/public DB.","Platform / Operations Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"OVH-G04","ovh_infrastructure","Release","Use digest, migration, health/smoke, rollback and external secret/audit evidence.","Platform / Operations Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"OVH-G05","ovh_infrastructure","Monitoring","Alert on uptime, host, RAID, disk, backup, DB, queue, security and missing telemetry.","Platform / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"OVH-G06","ovh_infrastructure","Capacity and latency","Pass Lao/SEA latency, load, reserve and saturation evidence.","Platform / Operations Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-01","secret_key","Session signing","Rotate at most 90 days with overlap and immediately on suspicion.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-02","secret_key","Database principals","Separate app, migration and backup roles; rotate at most 90 days or on role change.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-03","secret_key","OIDC client","Limit to auth service and rotate per provider policy or compromise.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-04","secret_key","Object and backup access","Separate evidence append/delete and backup restore roles.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-05","secret_key","Telemetry ingest","Limit Grafana/OTLP credential to Alloy ingest and rotate on anomaly.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"KEY-06","secret_key","CI and deploy","Use minimum repository/environment scope and short-lived credential where possible.","Platform / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"REC-G01","backup_recovery","PostgreSQL recovery","Daily encrypted base plus continuous WAL; proposed RPO ≤1h and RTO ≤8h.","Operations / Recovery Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"REC-G02","backup_recovery","Evidence recovery","Encrypted versioned object storage and checksum inventory; quarterly sample restore.","Operations / Recovery Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"REC-G03","backup_recovery","Configuration recovery","Version secret-free config and reconstruct clean host quarterly.","Operations / Recovery Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"REC-G04","backup_recovery","Telemetry and audit archive","Retain/query/export/integrity-check according to RET-07—09.","Operations / Recovery Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"SEC-DET-01","security_monitoring","Authentication attack","Detect failed login, MFA and recovery anomaly; challenge, revoke or escalate.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-02","security_monitoring","Privilege change","Alert immediately on role, account, MFA and break-glass event.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-03","security_monitoring","Authorization abuse","Detect repeated forbidden, enumeration and cross-role attempts.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-04","security_monitoring","Sensitive evidence access","Detect out-of-assignment or unusual-volume evidence access.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-05","security_monitoring","Bulk data movement","Stop, revoke and preserve evidence for abnormal export or query volume.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-06","security_monitoring","Audit or monitor tamper","Detect audit failure, collector silence and alert disable.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-07","security_monitoring","Config or secret change","Detect firewall, Compose, Caddy, OIDC and backup configuration changes.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"SEC-DET-08","security_monitoring","Data integrity anomaly","Detect Published leak, orphan, outbox divergence and checksum failure.","Security / Operations Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"G-SEC-01","release_governance","Threat and control gate","Every threat has owner, implemented control, evidence and residual-risk result.","Security / Release Owner","pending","pending","G-SEC-01","planned_pending_evidence","","","0.1 draft"
"G-SEC-02","release_governance","Identity and access gate","OIDC, MFA, session, negative authorization, break-glass and access review pass.","Security / Release Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"G-SEC-03","release_governance","Privacy and legal gate","Data map, consent, retention, vendor and legal reviews complete or analytics stays off.","Security / Release Owner","pending","pending","G-SEC-03","planned_pending_evidence","","","0.1 draft"
"G-SEC-04","release_governance","Application security gate","Required scans and security tests pass with zero open Critical/High.","Security / Release Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"G-SEC-05","release_governance","Host and container gate","Container and OVH host controls pass; external port and privilege scan clean.","Security / Release Owner","pending","pending","G-SEC-05","planned_pending_evidence","","","0.1 draft"
"G-SEC-06","release_governance","Recovery gate","Timed isolated restore meets approved RPO and RTO.","Security / Release Owner","pending","pending","G-SEC-06","planned_pending_evidence","","","0.1 draft"
"G-SEC-07","release_governance","Monitoring and incident gate","Detection, alert, missing-data and S1 tabletop pass.","Security / Release Owner","pending","pending","G-SEC-07","planned_pending_evidence","","","0.1 draft"
"G-SEC-08","release_governance","Release authority gate","Founder signs residual single-host, coverage, vendor and legal risk.","Founder / Product Owner","pending","pending","G-SEC-08","planned_pending_evidence","","","0.1 draft"
